Organism,Mass,Volume,Flow,Minutes,Hours,Present,Copies,Copies2,Copies1L,Copies1Lsc
1,160,80,1,0,0,No,10,2,33,0
1,160,80,1,10,0.166666667,Yes,9633,21087,421732,214098
1,160,80,1,30,0.5,Yes,3455,8673,173456,84666
1,160,80,1,60,1,Yes,20009,41524,830488,434425
1,160,80,1,120,2,Yes,54034,116662,2333238,1277669
1,160,80,5,130,2.166666667,Yes,170257,421384,8427680,4885586
1,160,80,5,150,2.5,Yes,73380,172100,3441992,1917592
1,160,80,5,180,3,Yes,28762,64879,1297571,692342
1,160,80,5,240,4,Yes,18799,41107,822139,429880
1,160,80,10,250,4.166666667,Yes,36205,79490,1589806,855961
1,160,80,10,270,4.5,Yes,14707,33552,671035,347724
1,160,80,10,300,5,Yes,8055,18940,378801,191394
1,160,80,10,360,6,Yes,2421,5375,107500,51382
1,160,80,20,370,6.166666667,Yes,2317,5613,112255,53755
1,160,80,20,390,6.5,Yes,1826,4489,89772,42567
1,160,80,20,420,7,Yes,964,2334,46679,21510
1,160,80,20,480,8,Yes,839,1821,36428,16611
2,100,80,1,0,0,No,0,2,33,0
2,100,80,1,10,0.166666667,Yes,19473,44965,899296,472083
2,100,80,1,30,0.5,Yes,45643,102946,2058921,1121226
2,100,80,1,60,1,Yes,16679,37748,754951,393263
2,100,80,1,120,2,Yes,69360,148036,2960715,1638494
2,100,80,5,130,2.166666667,Yes,45336,105812,2116241,1153849
2,100,80,5,150,2.5,Yes,30519,68015,1360291,727292
2,100,80,5,180,3,Yes,39476,93390,1867804,1012796
2,100,80,5,240,4,Yes,11129,25224,504472,258134
2,100,80,10,250,4.166666667,Yes,18795,42423,848465,444259
2,100,80,10,270,4.5,Yes,17266,37533,750663,390930
2,100,80,10,300,5,Yes,4669,10254,205079,100849
2,100,80,10,360,6,Yes,3269,8111,162225,78955
2,100,80,20,370,6.166666667,Yes,2623,6444,128885,62095
2,100,80,20,390,6.5,Yes,1299,3299,65982,30874
2,100,80,20,420,7,Yes,1681,4247,84940,40184
2,100,80,20,480,8,Yes,477,1118,22363,9985
3,70,80,1,0,0,No,0,0,0,0
3,70,80,1,10,0.166666667,Yes,2882,6489,129782,62549
3,70,80,1,30,0.5,Yes,2413,5663,113265,54262
3,70,80,1,60,1,Yes,10844,24308,486161,248364
3,70,80,1,120,2,Yes,14947,35094,701888,364435
3,70,80,5,130,2.166666667,Yes,5523,12858,257154,127733
3,70,80,5,150,2.5,Yes,18341,41957,839149,439161
3,70,80,5,180,3,Yes,9870,21134,422674,214592
3,70,80,5,240,4,Yes,8569,19297,385937,195165
3,70,80,10,250,4.166666667,Yes,4977,12533,250651,124370
3,70,80,10,270,4.5,Yes,2968,6925,138497,66944
3,70,80,10,300,5,Yes,2134,5242,104847,50059
3,70,80,10,360,6,Yes,2298,5095,101902,48592
3,70,80,20,370,6.166666667,Yes,2092,5198,103969,49624
3,70,80,20,390,6.5,Yes,1134,2765,55302,25677
3,70,80,20,420,7,Yes,1564,3825,76491,36025
3,70,80,20,480,8,Yes,102,222,4448,1859
4,40,80,1,0,0,No,0,0,3,0
4,40,80,1,10,0.166666667,Yes,1939,4600,92010,43683
4,40,80,1,30,0.5,Yes,2047,4897,97932,46618
4,40,80,1,60,1,Yes,3202,8449,168972,82386
4,40,80,1,120,2,Yes,3314,8537,170730,83280
4,40,80,5,130,2.166666667,Yes,7623,17455,349103,175752
4,40,80,5,150,2.5,Yes,4337,10079,201588,99054
4,40,80,5,180,3,Yes,257,614,12285,5348
4,40,80,5,240,4,Yes,863,2202,44034,20244
4,40,80,10,250,4.166666667,Yes,3646,8376,167524,81657
4,40,80,10,270,4.5,Yes,2248,5573,111458,53364
4,40,80,10,300,5,Yes,547,1377,27538,12408
4,40,80,10,360,6,Yes,235,614,12283,5348
4,40,80,20,370,6.166666667,Yes,1792,4523,90468,42915
4,40,80,20,390,6.5,Yes,1205,3052,61043,28463
4,40,80,20,420,7,Yes,1066,2596,51920,24039
4,40,80,20,480,8,Yes,185,464,9275,3992
