BioRep,TechRep,Mass,Volume,Flow,Minutes,Hours,Present,eDNA1Lsc,eRNA1Lsc
1,1,160,489,0,0,0,No,0,0
1,2,160,489,0,0,0,No,0,0
1,3,160,489,0,0,0,No,0,0
1,1,160,479,0,12,0.2,Yes,184974,34849.1753
1,2,160,479,0,12,0.2,Yes,394557,27343.68053
1,3,160,479,0,12,0.2,Yes,277329,13414.56337
1,1,160,479,0,30,0.5,Yes,334141,
1,2,160,479,0,30,0.5,Yes,504448,62357.20438
1,3,160,479,0,30,0.5,Yes,630630,69218.65569
1,1,160,477,0,60,1,Yes,2542784,206338.6901
1,2,160,477,0,60,1,Yes,1253203,278016.1024
1,3,160,477,0,60,1,Yes,220081,31583.60858
1,1,160,471,0,120,2,Yes,1965063,2289.13846
1,3,160,471,0,120,2,Yes,165811,347020.5813
1,2,160,471,0,120,2,Yes,2131218,386709.3213
1,1,160,465,0,240,4,No,1402815,132191.8415
1,2,160,465,0,240,4,No,426813,79644.23235
1,3,160,465,0,240,4,No,1271963,200804.3002
1,1,160,435,0,1440,24,No,1070197,90477.60063
1,2,160,435,0,1440,24,No,1022810,134310.4658
1,3,160,435,0,1440,24,No,229076,0
1,1,160,408,0,2880,48,No,708627,95327.38462
1,2,160,408,0,2880,48,No,469902,27999.50292
1,3,160,408,0,2880,48,No,632988,194.4105215
1,1,160,365,0,5760,96,No,126534,14411.1252
1,2,160,365,0,5760,96,No,194298,3608.89332
1,3,160,365,0,5760,96,No,51876,0
1,1,160,347,0,10080,168,No,18210,0
1,2,160,347,0,10080,168,No,30180,0
1,3,160,347,0,10080,168,No,20547,117.3518444
2,1,100,489,0,0,0,No,0,0
2,2,100,489,0,0,0,No,,0
2,3,100,489,0,0,0,No,0,0
2,1,100,479,0,12,0.2,Yes,171223,3612.8128
2,2,100,479,0,12,0.2,Yes,233623,2163.848541
2,3,100,479,0,12,0.2,Yes,161196,12519.02721
2,1,100,479,0,30,0.5,Yes,305601,5266.731951
2,2,100,479,0,30,0.5,Yes,259023,20268.10988
2,3,100,479,0,30,0.5,Yes,205895,658.0371895
2,1,100,468,0,60,1,Yes,670484,3730.188961
2,2,100,468,0,60,1,Yes,507860,19623.51794
2,3,100,468,0,60,1,Yes,163008,9495.366498
2,1,100,468,0,120,2,Yes,1029482,11501.20194
2,2,100,468,0,120,2,Yes,416164,47690.71173
2,1,100,458,0,240,4,Yes,1916263,92734.7831
2,2,100,458,0,240,4,Yes,589574,71855.64837
2,3,100,458,0,240,4,Yes,717407,
2,1,100,422,0,1440,24,No,702840,74003.54215
2,2,100,422,0,1440,24,No,484992,13189.32815
2,3,100,422,0,1440,24,No,495400,54.56945114
2,1,100,390,0,2880,48,No,356435,34571.1966
2,2,100,390,0,2880,48,No,404778,32090.24906
2,3,100,390,0,2880,48,No,277633,32847.39738
2,1,100,364,0,5760,96,No,93611,37846.84889
2,2,100,364,0,5760,96,No,68890,933.4890268
2,3,100,364,0,5760,96,No,127379,13329.17411
2,1,100,358,0,10080,168,No,17845,7003.843733
2,2,100,358,0,10080,168,No,15254,0
2,3,100,358,0,10080,168,No,9979,
3,1,70,489,0,0,0,No,0,0
3,2,70,489,0,0,0,No,0,0
3,3,70,489,0,0,0,No,0,0
3,1,70,479,0,12,0.2,Yes,9469,0
3,2,70,479,0,12,0.2,Yes,2879,2547.25831
3,3,70,479,0,12,0.2,Yes,38631,2219.408427
3,1,70,479,0,30,0.5,Yes,13741,
3,2,70,479,0,30,0.5,Yes,36630,
3,3,70,479,0,30,0.5,Yes,35726,3862.736827
3,1,70,475,0,60,1,Yes,9427,3605.658495
3,2,70,475,0,60,1,Yes,15117,419.9671296
3,3,70,475,0,60,1,Yes,68459,3863.709183
3,1,70,462,0,120,2,Yes,12290,8142.548844
3,2,70,462,0,120,2,Yes,22968,8237.741197
3,3,70,462,0,120,2,Yes,52844,5409.985977
3,1,70,454,0,240,4,Yes,49183,6858.364018
3,2,70,454,0,240,4,Yes,115289,0
3,3,70,454,0,240,4,Yes,80301,13527.69282
3,1,70,362,0,1440,24,No,92422,0
3,2,70,362,0,1440,24,No,28239,4272.985299
3,3,70,362,0,1440,24,No,66205,3929.696573
3,1,70,357,0,2880,48,No,42571,
3,2,70,357,0,2880,48,No,16524,4342.211093
3,3,70,357,0,2880,48,No,64801,
3,1,70,352,0,5760,96,No,5588,3904.695882
3,2,70,352,0,5760,96,No,20882,0
3,3,70,352,0,5760,96,No,14162,529.4896934
3,1,70,347,0,10080,168,No,2512,1192.847883
3,2,70,347,0,10080,168,No,5250,0
3,3,70,347,0,10080,168,No,721,0
4,1,40,487,0,0,0,No,0,
4,1,40,479,0,12,0.2,Yes,103841,
4,1,40,479,0,30,0.5,Yes,163825,
4,1,40,473,0,60,1,Yes,149580,
4,1,40,467,0,120,2,Yes,251562,
4,1,40,456,0,240,4,Yes,841924,
4,1,40,385,0,1440,24,No,235086,
4,1,40,339,0,2880,48,No,197983,
4,1,40,210,0,5760,96,No,62658,
4,1,40,156,0,10080,168,No,20762,
